timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1762212728365,3243,1.5 - GET - /api/v1/books,200,OK,Thread Group 1-2,text,true,,416083,154,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books,,3231,UTF-8,1,0,workstation-1,0,0
1762212731242,913,1.2 - GET - /api/v1/books/id/{id},200,OK,Thread Group 1-8,text,true,,588,194,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/id/23eb0a33-f84b-488f-af69-e0fac8d87a62,,913,UTF-8,1,0,workstation-1,0,0
1762212730049,2559,2.4 - GET - /api/v1/books/price-range?min_price=0&max_price=20,200,OK,Thread Group 1-6,text,true,,81307,191,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/price-range?min_price=0&max_price=20,,2558,UTF-8,1,0,workstation-1,0,0
1762212730649,1963,2.3 - GET - /api/v1/books/best-rated?limit=10,200,OK,Thread Group 1-1,text,true,,4576,174,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/best-rated?limit=10,,1963,UTF-8,1,0,workstation-1,0,0
1762212730507,2154,1.1 - GET - /api/v1/books/categories,200,OK,Thread Group 1-7,text,true,,992,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/categories,,2153,UTF-8,1,0,workstation-1,0,0
1762212730611,2147,1.1 - GET - /api/v1/books/categories,200,OK,Thread Group 1-3,text,true,,992,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/categories,,2147,UTF-8,1,0,workstation-1,0,0
1762212732608,822,1.1 - GET - /api/v1/books/categories,200,OK,Thread Group 1-6,text,true,,992,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/categories,,822,UTF-8,1,0,workstation-1,0,0
1762212732661,818,1.2 - GET - /api/v1/books/id/{id},200,OK,Thread Group 1-7,text,true,,605,194,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/id/a5f14fc0-6610-4f93-aab7-12e690bbb808,,818,UTF-8,1,0,workstation-1,0,0
1762212731573,1928,1.2 - GET - /api/v1/books/id/{id},200,OK,Thread Group 1-9,text,true,,581,194,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/id/129131f5-1108-4d71-abad-3e4e8024239f,,1928,UTF-8,1,0,workstation-1,0,0
1762212731559,1961,2.2 - GET - /api/v1/stats/categories,200,OK,Thread Group 1-4,text,true,,4244,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/categories,,1961,UTF-8,1,0,workstation-1,0,0
1762212731576,2174,1.2 - GET - /api/v1/books/id/{id},200,OK,Thread Group 1-5,text,true,,590,194,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/id/3b9578b0-ecd8-4fa3-a506-508561dbe048,,2173,UTF-8,1,0,workstation-1,0,0
1762212732612,1167,2.4 - GET - /api/v1/books/price-range?min_price=0&max_price=20,200,OK,Thread Group 1-1,text,true,,81307,191,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/price-range?min_price=0&max_price=20,,1165,UTF-8,1,0,workstation-1,0,0
1762212731608,2435,2.1 - GET - /api/v1/stats/overview,200,OK,Thread Group 1-2,text,true,,630,163,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/overview,,2435,UTF-8,1,0,workstation-1,0,0
1762212733520,634,2.3 - GET - /api/v1/books/best-rated?limit=10,200,OK,Thread Group 1-4,text,true,,4576,174,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/best-rated?limit=10,,634,UTF-8,1,0,workstation-1,0,0
1762212732155,2008,1.3 - GET - /api/v1/books/filters?title=&category=,200,OK,Thread Group 1-8,text,true,,392559,179,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/filters?title=&category=,,1965,UTF-8,1,0,workstation-1,0,0
1762212731576,2813,2.4 - GET - /api/v1/books/price-range?min_price=0&max_price=20,200,OK,Thread Group 1-10,text,true,,81292,191,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/price-range?min_price=0&max_price=20,,2780,UTF-8,1,0,workstation-1,0,21
1762212734043,814,2.2 - GET - /api/v1/stats/categories,200,OK,Thread Group 1-2,text,true,,4244,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/stats/categories,,814,UTF-8,1,0,workstation-1,0,0
1762212732759,2618,1.2 - GET - /api/v1/books/id/{id},200,OK,Thread Group 1-3,text,true,,613,194,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/id/3c016c63-e09d-44e1-9787-8364cdd5541e,,2618,UTF-8,1,0,workstation-1,0,0
1762212734154,1233,2.4 - GET - /api/v1/books/price-range?min_price=0&max_price=20,200,OK,Thread Group 1-4,text,true,,81299,191,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/price-range?min_price=0&max_price=20,,1232,UTF-8,1,0,workstation-1,0,0
1762212733479,1918,1.3 - GET - /api/v1/books/filters?title=&category=,200,OK,Thread Group 1-7,text,true,,392553,179,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/filters?title=&category=,,1905,UTF-8,1,0,workstation-1,0,0
1762212733430,2500,1.2 - GET - /api/v1/books/id/{id},200,OK,Thread Group 1-6,text,true,,622,194,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/id/630953fe-b293-444c-bebe-e5fbf607ee47,,2500,UTF-8,1,0,workstation-1,0,0
1762212734857,1087,2.3 - GET - /api/v1/books/best-rated?limit=10,200,OK,Thread Group 1-2,text,true,,4576,174,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/best-rated?limit=10,,1087,UTF-8,1,0,workstation-1,0,0
1762212735397,588,1.4 - GET - /api/v1/health/,200,OK,Thread Group 1-7,text,true,,380,156,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/health/,,588,UTF-8,1,0,workstation-1,0,0
1762212733779,2232,1.1 - GET - /api/v1/books/categories,200,OK,Thread Group 1-1,text,true,,992,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/categories,,2232,UTF-8,1,0,workstation-1,0,0
1762212734163,2053,1.4 - GET - /api/v1/health/,200,OK,Thread Group 1-8,text,true,,380,156,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/health/,,2053,UTF-8,1,0,workstation-1,0,0
1762212734389,2300,1.1 - GET - /api/v1/books/categories,200,OK,Thread Group 1-10,text,true,,992,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/categories,,2300,UTF-8,1,0,workstation-1,0,0
1762212733501,3609,1.3 - GET - /api/v1/books/filters?title=&category=,200,OK,Thread Group 1-9,text,true,,392545,179,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/filters?title=&category=,,3594,UTF-8,1,0,workstation-1,0,0
1762212733750,3386,1.3 - GET - /api/v1/books/filters?title=&category=,200,OK,Thread Group 1-5,text,true,,392553,179,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/filters?title=&category=,,3336,UTF-8,1,0,workstation-1,0,16
1762212735944,1450,2.4 - GET - /api/v1/books/price-range?min_price=0&max_price=20,200,OK,Thread Group 1-2,text,true,,81292,191,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/price-range?min_price=0&max_price=20,,1449,UTF-8,1,0,workstation-1,0,0
1762212735387,2165,1.1 - GET - /api/v1/books/categories,200,OK,Thread Group 1-4,text,true,,992,165,10,10,https://fiap-eml-tech-challenger-fase-1.onrender.com/api/v1/books/categories,,2165,UTF-8,1,0,workstation-1,0,0
